,Start_Station,End_Station,regular_total_time_min,regular_walking_time_min,Frequency,accessible_total_time_min,time_diff,eta
116,King's Cross St. Pancras,Seven Sisters,16.816666666666666,8.766666666666667,25,154,137.18333333333334,9.157581764122893
98,Clapton,Seven Sisters,25.016666666666666,4.0,26,206,180.98333333333335,8.234510326449035
16,Stratford,Woodford,13.933333333333334,2.933333333333333,53,74,60.06666666666666,5.311004784688995
113,Custom House EL,Abbey Wood,15.416666666666666,5.333333333333333,25,80,64.58333333333333,5.1891891891891895
109,Belsize Park,Colindale,17.933333333333334,3.816666666666667,25,67,49.06666666666666,3.7360594795539033
13,Colindale,Belsize Park,18.066666666666663,4.45,55,67,48.93333333333334,3.7084870848708493
41,Colliers Wood,Clapham Common,11.966666666666669,2.966666666666667,33,44,32.03333333333333,3.676880222841225
118,Gants Hill,Stratford,13.15,1.2,25,45,31.85,3.4220532319391634
81,Chalk Farm,Hendon Central,16.316666666666666,3.3,28,54,37.68333333333334,3.3094994892747702
35,Hendon Central,Chalk Farm,14.55,3.35,34,48,33.45,3.2989690721649483
9,Uxbridge,Eastcote,14.233333333333333,4.233333333333333,66,46,31.766666666666666,3.2318501170960188
21,Tooting Broadway,Morden,11.333333333333334,5.333333333333333,46,36,24.666666666666664,3.176470588235294
54,Southgate,Manor House,16.1,2.6166666666666667,31,51,34.9,3.167701863354037
11,Ilford,Gidea Park,16.7,3.5166666666666666,58,52,35.3,3.1137724550898205
117,Putney Bridge,Wimbledon,18.566666666666663,8.55,25,57,38.43333333333334,3.070017953321365
43,East Putney,Wimbledon,14.916666666666666,6.9,33,45,30.083333333333336,3.016759776536313
39,Manor House,Southgate,17.5,2.5,34,51,33.5,2.914285714285714
44,Finchley Central,Kentish Town,16.566666666666666,4.566666666666666,32,47,30.433333333333334,2.837022132796781
32,Parsons Green,Wimbledon,21.53333333333333,9.516666666666667,36,61,39.46666666666667,2.8328173374613006
20,Clapham Common,Colliers Wood,12.766666666666667,2.7666666666666666,48,35,22.233333333333334,2.7415143603133156
121,Greenwich,South Quay,11.433333333333334,4.333333333333333,25,31,19.566666666666666,2.7113702623906706
47,Archway,Woodside Park,16.316666666666666,3.183333333333333,32,43,26.683333333333334,2.635342185903984
96,Custom House,Gallions Reach,10.116666666666667,2.1166666666666667,26,26,15.883333333333333,2.57001647446458
84,Clapham South,South Wimbledon,16.85,6.85,28,43,26.15,2.551928783382789
93,Colliers Wood,Morden,9.1,5.1,27,23,13.9,2.5274725274725274
0,Wimbledon,Parsons Green,21.45,9.45,300,54,32.55,2.5174825174825175
37,Walthamstow Central,Stoke Newington,21.433333333333334,16.416666666666668,34,52,30.566666666666666,2.426127527216174
99,South Wimbledon,Clapham South,16.116666666666667,6.833333333333333,26,39,22.883333333333333,2.4198552223371252
87,West Hampstead LU,Wembley Park,13.283333333333331,3.2666666666666666,28,32,18.71666666666667,2.409033877038896
49,North Acton,South Ruislip,30.316666666666663,17.133333333333333,31,73,42.68333333333334,2.407916437603079
75,Tottenham Court Road,Bank and Monument,10.45,4.733333333333333,29,25,14.55,2.3923444976076556
89,Stratford,Canada Water,16.55,5.466666666666667,27,39,22.45,2.3564954682779455
79,Shepherd's Bush LU,Marble Arch,16.966666666666665,7.75,29,39,22.033333333333335,2.2986247544204326
86,Cutty Sark,Lewisham DLR,8.683333333333334,2.0,28,19,10.316666666666666,2.1880998080614202
51,Tooting Bec,Morden,23.78333333333333,5.95,31,52,28.21666666666667,2.186405045550105
5,Morden,Balham LU,12.966666666666669,3.966666666666667,78,28,15.033333333333331,2.1593830334190227
100,Canary Wharf LU,Honor Oak Park,34.81666666666667,12.216666666666669,26,73,38.18333333333333,2.0966969842029677
1,Tooting Broadway,Clapham North,15.45,6.45,93,32,16.55,2.0711974110032365
27,Balham LU,Morden,14.016666666666667,4.016666666666667,42,29,14.983333333333333,2.068965517241379
105,Waterloo LU,Oxford Circus,12.466666666666669,6.45,26,25,12.533333333333331,2.0053475935828873
72,Waterloo LU,Battersea Power Station,17.833333333333332,9.066666666666666,29,35,17.166666666666668,1.9626168224299068
28,Woolwich EL,Abbey Wood,7.7,2.6166666666666667,40,15,7.3,1.948051948051948
61,King's Cross St. Pancras,Farringdon,8.25,4.033333333333333,30,16,7.75,1.9393939393939394
110,Piccadilly Circus,Tottenham Court Road,9.333333333333334,3.583333333333333,25,18,8.666666666666666,1.9285714285714284
120,Vauxhall LU,Balham LU,18.83333333333333,4.433333333333334,25,36,17.16666666666667,1.9115044247787616
59,Ealing Broadway,West Ealing,8.416666666666666,5.416666666666667,30,16,7.583333333333334,1.9009900990099011
56,Waterloo LU,Bank and Monument,10.05,5.883333333333334,31,19,8.95,1.8905472636815919
24,London Bridge LU,Stockwell,19.616666666666667,8.6,44,37,17.383333333333333,1.8861512319456244
101,Fulham Broadway,Wimbledon Park,19.933333333333334,8.833333333333334,26,37,17.066666666666666,1.8561872909698995
112,Epping,Woodford,31.166666666666668,16.033333333333335,25,57,25.833333333333332,1.8288770053475936
53,Farringdon,King's Cross St. Pancras,7.683333333333334,4.783333333333333,31,14,6.316666666666666,1.822125813449024
97,Oxford Circus,Tottenham Court Road,5.566666666666666,4.7,26,10,4.433333333333334,1.7964071856287427
114,Leicester Square,Bank and Monument,17.383333333333333,10.666666666666666,25,31,13.616666666666667,1.7833173537871525
7,Stratford,Seven Kings,21.53333333333333,9.15,70,38,16.46666666666667,1.7647058823529413
70,Colindale,Edgware,22.75,6.75,29,40,17.25,1.7582417582417582
111,Tottenham Court Road,Piccadilly Circus,9.416666666666666,3.2,25,16,6.583333333333334,1.6991150442477878
55,Archway,Euston LU,17.2,7.75,31,29,11.8,1.686046511627907
103,Victoria LU,Stockwell,13.05,7.75,26,22,8.95,1.685823754789272
66,Notting Hill Gate,North Acton,34.86666666666667,23.866666666666667,30,58,23.133333333333333,1.6634799235181643
90,Woodford,Stratford,14.05,2.75,27,23,8.95,1.6370106761565835
29,Canary Wharf EL,Abbey Wood,22.2,8.116666666666667,39,35,12.8,1.5765765765765767
108,Romford,Shenfield,14.6,5.6,25,22,7.4,1.5068493150684932
17,Victoria LU,Clapham Common,20.633333333333333,7.033333333333333,52,31,10.366666666666667,1.5024232633279484
